# Step MSD_caffeine(A^2)
# TimeStep c_cMSDcaf[4]
862000 12.7113
863000 13.5669
864000 13.5761
865000 13.6796
866000 14.0791
867000 14.2517
868000 14.6287
869000 14.9243
870000 15.0769
871000 15.6134
872000 16.1279
873000 15.3988
874000 15.1316
875000 15.1971
876000 15.6161
877000 15.3271
878000 15.4105
879000 14.9113
880000 14.4837
881000 14.5423
882000 15.0812
883000 15.2306
884000 15.2443
885000 15.1973
886000 14.8697
887000 15.1102
888000 14.7642
889000 15.0979
890000 15.3429
891000 15.3823
892000 15.1127
893000 15.2852
894000 15.6315
895000 16.306
896000 15.5374
897000 15.2829
898000 15.5177
899000 15.3107
900000 15.271
901000 15.634
902000 15.3433
903000 15.6197
904000 15.6474
905000 15.7209
906000 15.8938
907000 15.725
908000 15.4806
909000 15.7051
910000 15.8445
911000 15.3196
912000 15.1941
913000 14.2724
914000 15.773
915000 15.883
916000 15.665
917000 16.0018
918000 15.7716
919000 16.3013
920000 16.2364
921000 15.8767
922000 16.2415
923000 15.9734
924000 15.6147
925000 15.919
926000 15.4438
927000 15.7966
928000 15.2411
929000 15.8514
930000 15.6448
931000 14.9036
932000 15.7361
933000 15.9877
934000 15.7138
935000 15.347
936000 15.247
937000 15.9763
938000 16.7029
939000 16.8121
940000 17.1216
941000 17.1534
942000 16.6365
943000 18.2037
944000 17.825
945000 17.8329
946000 18.1484
947000 18.7392
948000 17.7553
949000 18.4222
950000 17.9995
951000 17.9465
952000 17.673
953000 17.5498
954000 17.4097
955000 19.442
956000 17.7965
957000 18.0065
958000 18.2294
959000 18.1024
960000 18.5085
961000 18.4283
962000 18.0594
963000 18.0904
964000 17.9612
965000 17.6947
966000 17.6215
967000 17.5297
968000 16.6988
969000 16.7031
970000 17.1226
971000 16.971
972000 17.7989
973000 17.1916
974000 16.6511
975000 17.1834
976000 16.0293
977000 16.2405
978000 16.2353
979000 16.9495
980000 16.0188
981000 15.157
982000 14.4983
983000 14.5656
984000 15.7723
985000 17.6548
986000 18.127
987000 18.6953
988000 18.0667
989000 18.1048
990000 18.5066
991000 17.9844
992000 17.3964
993000 17.2126
994000 18.6316
995000 19.0792
996000 19.8572
997000 19.7001
998000 20.5971
999000 20.4617
1000000 20.8983
